NEW_NAME,year_index,code,year,stata_command,new_year_ugh
profit_bonds,5,ER37616,07,cap rename ER37616 profit_bonds,2007
profit_bonds,6,ER43607,09,cap rename ER43607 profit_bonds,2009
profit_bonds,7,ER48932,11,cap rename ER48932 profit_bonds,2011
profit_bonds,8,ER54682,13,cap rename ER54682 profit_bonds,2013
profit_bonds,9,ER61793,15,cap rename ER61793 profit_bonds,2015
profit_stock,1,ER15007,99,cap rename ER15007 profit_stock,1999
profit_stock,10,ER67798,17,cap rename ER67798 profit_stock,2017
profit_stock,2,ER19203,01,cap rename ER19203 profit_stock,2001
profit_stock,3,ER22568,03,cap rename ER22568 profit_stock,2003
profit_stock,4,ER26549,05,cap rename ER26549 profit_stock,2005
profit_stock,5,ER37567,07,cap rename ER37567 profit_stock,2007
profit_stock,6,ER43558,09,cap rename ER43558 profit_stock,2009
profit_stock,7,ER48883,11,cap rename ER48883 profit_stock,2011
profit_stock,8,ER54634,13,cap rename ER54634 profit_stock,2013
profit_stock,9,ER61745,15,cap rename ER61745 profit_stock,2015
value_business,1,ER54625,13,cap rename ER54625 value_business,2013
value_business,2,ER61736,15,cap rename ER61736 value_business,2015
value_business,3,ER67789,17,cap rename ER67789 value_business,2017
value_home_equity,1,S420,99,cap rename S420 value_home_equity,1999
value_home_equity,10,ER71481,17,cap rename ER71481 value_home_equity,2017
value_home_equity,2,S520,01,cap rename S520 value_home_equity,2001
value_home_equity,3,S620,03,cap rename S620 value_home_equity,2003
value_home_equity,4,S720,05,cap rename S720 value_home_equity,2005
value_home_equity,5,S820,07,cap rename S820 value_home_equity,2007
value_home_equity,6,ER46966,09,cap rename ER46966 value_home_equity,2009
value_home_equity,7,ER52390,11,cap rename ER52390 value_home_equity,2011
value_home_equity,8,ER58207,13,cap rename ER58207 value_home_equity,2013
value_home_equity,9,ER65404,15,cap rename ER65404 value_home_equity,2015
value_house,1,ER13041,99,cap rename ER13041 value_house,1999
value_house,10,ER66031,17,cap rename ER66031 value_house,2017
value_house,2,ER17044,01,cap rename ER17044 value_house,2001
value_house,3,ER21043,03,cap rename ER21043 value_house,2003
value_house,4,ER25029,05,cap rename ER25029 value_house,2005
value_house,5,ER36029,07,cap rename ER36029 value_house,2007
value_house,6,ER42030,09,cap rename ER42030 value_house,2009
value_house,7,ER47330,11,cap rename ER47330 value_house,2011
value_house,8,ER53030,13,cap rename ER53030 value_house,2013
value_house,9,ER60031,15,cap rename ER60031 value_house,2015
value_ira,1,S419,99,cap rename S419 value_ira,1999
value_ira,10,ER71455,17,cap rename ER71455 value_ira,2017
value_ira,2,S519,01,cap rename S519 value_ira,2001
value_ira,3,S619,03,cap rename S619 value_ira,2003
value_ira,4,S719,05,cap rename S719 value_ira,2005
value_ira,5,S819,07,cap rename S819 value_ira,2007
value_ira,6,ER46964,09,cap rename ER46964 value_ira,2009
value_ira,7,ER52368,11,cap rename ER52368 value_ira,2011
value_ira,8,ER58181,13,cap rename ER58181 value_ira,2013
value_ira,9,ER65378,15,cap rename ER65378 value_ira,2015
value_net_business,1,ER15002,99,cap rename ER15002 value_net_business,1999
value_net_business,2,ER19198,01,cap rename ER19198 value_net_business,2001
value_net_business,3,ER22563,03,cap rename ER22563 value_net_business,2003
value_net_business,4,ER26544,05,cap rename ER26544 value_net_business,2005
value_net_business,5,ER37562,07,cap rename ER37562 value_net_business,2007
value_net_business,6,ER43553,09,cap rename ER43553 value_net_business,2009
value_net_business,7,ER48878,11,cap rename ER48878 value_net_business,2011
value_net_other_assets,1,S415,99,cap rename S415 value_net_other_assets,1999
value_net_other_assets,10,ER71451,17,cap rename ER71451 value_net_other_assets,2017
value_net_other_assets,2,S515,01,cap rename S515 value_net_other_assets,2001
value_net_other_assets,3,S615,03,cap rename S615 value_net_other_assets,2003
value_net_other_assets,4,S715,05,cap rename S715 value_net_other_assets,2005
value_net_other_assets,5,S815,07,cap rename S815 value_net_other_assets,2007
value_net_other_assets,6,ER46960,09,cap rename ER46960 value_net_other_assets,2009
value_net_other_assets,7,ER52364,11,cap rename ER52364 value_net_other_assets,2011
value_net_other_assets,8,ER58177,13,cap rename ER58177 value_net_other_assets,2013
value_net_other_assets,9,ER65374,15,cap rename ER65374 value_net_other_assets,2015
value_net_other_real_estate,1,S409,99,cap rename S409 value_net_other_real_estate,1999
value_net_other_real_estate,2,S509,01,cap rename S509 value_net_other_real_estate,2001
value_net_other_real_estate,3,S609,03,cap rename S609 value_net_other_real_estate,2003
value_net_other_real_estate,4,S709,05,cap rename S709 value_net_other_real_estate,2005
value_net_other_real_estate,5,S809,07,cap rename S809 value_net_other_real_estate,2007
value_net_other_real_estate,6,ER46950,09,cap rename ER46950 value_net_other_real_estate,2009
value_net_other_real_estate,7,ER52354,11,cap rename ER52354 value_net_other_real_estate,2011
value_other_real_estate,1,ER58165,13,cap rename ER58165 value_other_real_estate,2013
value_other_real_estate,2,ER65362,15,cap rename ER65362 value_other_real_estate,2015
value_other_real_estate,3,ER71439,17,cap rename ER71439 value_other_real_estate,2017
value_stock,1,S411,99,cap rename S411 value_stock,1999
value_stock,10,ER71445,17,cap rename ER71445 value_stock,2017
value_stock,2,S511,01,cap rename S511 value_stock,2001
value_stock,3,S611,03,cap rename S611 value_stock,2003
value_stock,4,S711,05,cap rename S711 value_stock,2005
value_stock,5,S811,07,cap rename S811 value_stock,2007
value_stock,6,ER46954,09,cap rename ER46954 value_stock,2009
value_stock,7,ER52358,11,cap rename ER52358 value_stock,2011
value_stock,8,ER58171,13,cap rename ER58171 value_stock,2013
value_stock,9,ER65368,15,cap rename ER65368 value_stock,2015
value_vehicles,1,S413A,99,cap rename S413A value_vehicles,1999
value_vehicles,10,ER71448,17,cap rename ER71448 value_vehicles,2017
value_vehicles,2,S513A,01,cap rename S513A value_vehicles,2001
value_vehicles,3,S613A,03,cap rename S613A value_vehicles,2003
value_vehicles,4,S713A,05,cap rename S713A value_vehicles,2005
value_vehicles,5,S813A,07,cap rename S813A value_vehicles,2007
value_vehicles,6,ER46957,09,cap rename ER46957 value_vehicles,2009
value_vehicles,7,ER52361,11,cap rename ER52361 value_vehicles,2011
value_vehicles,8,ER58174,13,cap rename ER58174 value_vehicles,2013
value_vehicles,9,ER65371,15,cap rename ER65371 value_vehicles,2015
wealth_w_equity,1,S417,99,cap rename S417 wealth_w_equity,1999
wealth_w_equity,10,ER71485,17,cap rename ER71485 wealth_w_equity,2017
wealth_w_equity,2,S517,01,cap rename S517 wealth_w_equity,2001
wealth_w_equity,3,S617,03,cap rename S617 wealth_w_equity,2003
wealth_w_equity,4,S717,05,cap rename S717 wealth_w_equity,2005
wealth_w_equity,5,S817,07,cap rename S817 wealth_w_equity,2007
wealth_w_equity,6,ER46970,09,cap rename ER46970 wealth_w_equity,2009
wealth_w_equity,7,ER52394,11,cap rename ER52394 wealth_w_equity,2011
wealth_w_equity,8,ER58211,13,cap rename ER58211 wealth_w_equity,2013
wealth_w_equity,9,ER65408,15,cap rename ER65408 wealth_w_equity,2015
wealth_wo_equity,1,S416,99,cap rename S416 wealth_wo_equity,1999
wealth_wo_equity,10,ER71483,17,cap rename ER71483 wealth_wo_equity,2017
wealth_wo_equity,2,S516,01,cap rename S516 wealth_wo_equity,2001
wealth_wo_equity,3,S616,03,cap rename S616 wealth_wo_equity,2003
wealth_wo_equity,4,S716,05,cap rename S716 wealth_wo_equity,2005
wealth_wo_equity,5,S816,07,cap rename S816 wealth_wo_equity,2007
wealth_wo_equity,6,ER46968,09,cap rename ER46968 wealth_wo_equity,2009
wealth_wo_equity,7,ER52392,11,cap rename ER52392 wealth_wo_equity,2011
wealth_wo_equity,8,ER58209,13,cap rename ER58209 wealth_wo_equity,2013
wealth_wo_equity,9,ER65406,15,cap rename ER65406 wealth_wo_equity,2015
wtr_bonds,1,ER15025,99,cap rename ER15025 wtr_bonds,1999
wtr_bonds,10,ER67846,17,cap rename ER67846 wtr_bonds,2017
wtr_bonds,2,ER19221,01,cap rename ER19221 wtr_bonds,2001
wtr_bonds,3,ER22616,03,cap rename ER22616 wtr_bonds,2003
wtr_bonds,4,ER26597,05,cap rename ER26597 wtr_bonds,2005
wtr_bonds,5,ER37615,07,cap rename ER37615 wtr_bonds,2007
wtr_bonds,6,ER43606,09,cap rename ER43606 wtr_bonds,2009
wtr_bonds,7,ER48931,11,cap rename ER48931 wtr_bonds,2011
wtr_bonds,8,ER54681,13,cap rename ER54681 wtr_bonds,2013
wtr_bonds,9,ER61792,15,cap rename ER61792 wtr_bonds,2015
wtr_ckg,1,ER15019,99,cap rename ER15019 wtr_ckg,1999
wtr_ckg,10,ER67824,17,cap rename ER67824 wtr_ckg,2017
wtr_ckg,2,ER19215,01,cap rename ER19215 wtr_ckg,2001
wtr_ckg,3,ER22595,03,cap rename ER22595 wtr_ckg,2003
wtr_ckg,4,ER26576,05,cap rename ER26576 wtr_ckg,2005
wtr_ckg,5,ER37594,07,cap rename ER37594 wtr_ckg,2007
wtr_ckg,6,ER43585,09,cap rename ER43585 wtr_ckg,2009
wtr_ckg,7,ER48910,11,cap rename ER48910 wtr_ckg,2011
wtr_ckg,8,ER54660,13,cap rename ER54660 wtr_ckg,2013
wtr_ckg,9,ER61771,15,cap rename ER61771 wtr_ckg,2015
wtr_stock,1,S410,99,cap rename S410 wtr_stock,1999
wtr_stock,10,ER71443,17,cap rename ER71443 wtr_stock,2017
wtr_stock,2,S510,01,cap rename S510 wtr_stock,2001
wtr_stock,3,S610,03,cap rename S610 wtr_stock,2003
wtr_stock,4,S710,05,cap rename S710 wtr_stock,2005
wtr_stock,5,S810,07,cap rename S810 wtr_stock,2007
wtr_stock,6,ER46952,09,cap rename ER46952 wtr_stock,2009
wtr_stock,7,ER52356,11,cap rename ER52356 wtr_stock,2011
wtr_stock,8,ER58169,13,cap rename ER58169 wtr_stock,2013
wtr_stock,9,ER65366,15,cap rename ER65366 wtr_stock,2015
